id,bus_route_id,bus_stop_id,bus_stop_number,created_at,updated_at
84,719,22,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
85,878,22,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
86,671,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
87,229,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
88,1252,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
89,1130,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
90,1243,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
91,887,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
92,889,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
93,890,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
94,891,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
95,893,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
96,648,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
97,657,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
98,659,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
99,662,23,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
100,662,24,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
101,229,24,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
102,295,24,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
103,299,24,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
104,887,24,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
105,893,24,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
106,286,24,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
107,287,24,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
108,229,25,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
109,887,25,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
110,484,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
111,488,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
112,493,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
113,15,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
114,507,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
115,556,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
116,559,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
117,613,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
118,609,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
119,610,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
120,611,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
