id,gml_id,coordinates,bus_route_id,created_at,updated_at
11,db/N07-11_12.xml/cv11,"[[35.86558528,139.96962111],[35.864613,139.96988416]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
12,db/N07-11_12.xml/cv12,"[[35.92900417,139.96181194],[35.9222725,139.95734889],[35.92053417,139.95573389],[35.91880806,139.95384417],[35.91634806,139.95013917],[35.91155528,139.93924944],[35.91059811,139.93762504],[35.90935611,139.93631361],[35.90866861,139.93609167],[35.90813861,139.93639056],[35.90729417,139.93870333],[35.90726472,139.93926583],[35.90757167,139.94034222],[35.907545,139.94126889],[35.90495278,139.94698361],[35.90323528,139.94998972],[35.90210944,139.95138472],[35.90117306,139.95225306],[35.89258111,139.95916639],[35.89178583,139.95975528],[35.8761775,139.96874778],[35.87527278,139.96947917],[35.87028389,139.97495667],[35.86558528,139.96962111]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
13,db/N07-11_12.xml/cv13,"[[35.89459651,140.49377355],[35.89443194,140.4939225],[35.89309111,140.49284972],[35.89218389,140.49473889],[35.89117,140.49586],[35.8927025,140.49740306],[35.89430278,140.49792222],[35.89640278,140.49923333],[35.89719917,140.49806722]]",3,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
14,db/N07-11_12.xml/cv14,"[[35.89719917,140.49806722],[35.89919527,140.49966646]]",3,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
15,db/N07-11_12.xml/cv15,"[[35.89719917,140.49806722],[35.89862889,140.49612111],[35.89939639,140.49478028],[35.89980275,140.49392909],[35.90046278,140.49159444],[35.90409583,140.4931125],[35.90396639,140.49153472],[35.90364806,140.49019333],[35.904115,140.49036083],[35.90808,140.490805]]",3,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
16,db/N07-11_12.xml/cv16,"[[35.7300362,140.8275151],[35.72982194,140.82750389],[35.72991278,140.82664278],[35.73049306,140.82322444],[35.73249389,140.82339028]]",4,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
17,db/N07-11_12.xml/cv17,"[[35.73249389,140.82339028],[35.73254117,140.82303733]]",4,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
18,db/N07-11_12.xml/cv18,"[[35.73249389,140.82339028],[35.73941028,140.82423861]]",4,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
19,db/N07-11_12.xml/cv19,"[[35.64023062,139.87455267],[35.63803953,139.88058997],[35.63758472,139.88272583],[35.63748748,139.88424018],[35.63769833,139.88648305],[35.63835056,139.88841917],[35.63896515,139.88953812],[35.64050528,139.89156194],[35.66087131,139.91583845],[35.66990972,139.92454611],[35.67833257,139.93400442],[35.68047861,139.93671194],[35.6822725,139.9394175],[35.69114945,139.95404055],[35.69202895,139.9560281],[35.69252128,139.95846174],[35.69254417,139.96017361],[35.69199,139.96335222],[35.68479111,139.99039972],[35.67977667,140.000515],[35.67853732,140.00185551],[35.67440333,140.00386694],[35.67334917,140.00467917],[35.67233028,140.00578944],[35.66222445,140.02295167],[35.66144417,140.02473528],[35.66011917,140.0285875],[35.6592275,140.03275722],[35.65789472,140.03689139],[35.65718861,140.0384225],[35.65296639,140.04590111],[35.65123921,140.04980552],[35.65005278,140.05352722],[35.6487991,140.06062969],[35.64789071,140.06380275],[35.64656283,140.06603422],[35.64331889,140.06984722],[35.64232913,140.07133159],[35.64190333,140.07239778],[35.64154639,140.07471944],[35.64168306,140.07626972],[35.64197861,140.07751],[35.64286139,140.079355],[35.65248528,140.09123861],[35.65366333,140.09289417],[35.65623857,140.09735399],[35.65838154,140.0995085],[35.6619746,140.10131032],[35.66277601,140.1020235],[35.66368753,140.10319282],[35.66451528,140.10527],[35.66486222,140.10774222],[35.66540222,140.10964806],[35.66612361,140.11078889],[35.66906,140.11421639],[35.67029694,140.11653389],[35.67101583,140.11914083],[35.67199278,140.1248425],[35.67314444,140.128485],[35.67475167,140.13161472],[35.67760389,140.13603194],[35.67908111,140.13865111],[35.68030722,140.14161796],[35.68076056,140.14317361],[35.68180194,140.14910667],[35.68230528,140.16106611],[35.6826525,140.16404528],[35.68393194,140.17154222],[35.68441028,140.17693417],[35.68444945,140.17990616],[35.68418417,140.18386444],[35.68295945,140.19223417],[35.68217972,140.20057583],[35.68235,140.20877444],[35.68279556,140.212665],[35.68341417,140.21591917],[35.68608306,140.22646417],[35.6867297,140.23137206],[35.68735917,140.23917694],[35.68789944,140.24139417],[35.688785,140.24402083],[35.69018528,140.247075],[35.69199583,140.24982917],[35.69569611,140.25488028],[35.69754583,140.25798667],[35.69958357,140.26266872],[35.70229,140.27174417],[35.70381111,140.27559028],[35.70629653,140.27988014],[35.70864445,140.28281055],[35.71066695,140.28474611],[35.71315583,140.28658917],[35.71547028,140.28785861],[35.72519694,140.29204972],[35.72757278,140.29342139],[35.73116444,140.2960675],[35.73406694,140.2988925],[35.73599639,140.30122667],[35.74183153,140.30909484],[35.74366582,140.31116047],[35.74604809,140.31347749],[35.75041062,140.31670245],[35.75911361,140.3211575],[35.76154805,140.32280444],[35.76383556,140.32486917],[35.76542952,140.32668459],[35.77162361,140.33568194],[35.77321639,140.33759083],[35.77486139,140.3392425],[35.77783139,140.34171444],[35.78632167,140.34637222],[35.79041194,140.34910306],[35.7922,140.35054139],[35.79476861,140.35294417],[35.796955,140.35532917],[35.7993975,140.35838139],[35.80177278,140.36198889],[35.80394139,140.365915],[35.80655583,140.37170472],[35.80791889,140.37561083],[35.80874445,140.37880417],[35.8094475,140.38285972],[35.81035167,140.39271722],[35.81130083,140.39830694],[35.8128725,140.40413357],[35.81501111,140.40992222],[35.81745944,140.41514083],[35.8215775,140.42281194],[35.82482333,140.42824667],[35.83094361,140.43781111],[35.83462806,140.44410556],[35.83795278,140.45126111],[35.83925222,140.45566472],[35.8409375,140.46475361],[35.84155139,140.4727375],[35.84197028,140.48372917],[35.84279,140.48917583],[35.84422917,140.49600417],[35.84561139,140.50054389],[35.84732028,140.50471944],[35.85381083,140.51705639],[35.85501806,140.51904083],[35.85796639,140.52303055],[35.85982639,140.52518055],[35.86225945,140.52765305],[35.86638917,140.53119028],[35.88325417,140.5435375],[35.88701583,140.54704444],[35.89200722,140.55234417],[35.89506056,140.55510528],[35.898385,140.55730417],[35.90761472,140.5614675],[35.90862695,140.56205444],[35.91039806,140.56342083],[35.91163945,140.56466694],[35.91331222,140.56699611],[35.91480945,140.56998028],[35.9174575,140.5761075],[35.91874611,140.57827667]]",5,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
20,db/N07-11_12.xml/cv20,"[[35.92900417,139.96181194],[35.9222725,139.95734889],[35.92053417,139.95573389],[35.91880806,139.95384417],[35.91634806,139.95013917],[35.91278194,139.94182028],[35.91155528,139.93924944],[35.90968278,139.93610528],[35.90789453,139.93380446],[35.90501137,139.93055187],[35.90133094,139.92728452],[35.89640648,139.92144554],[35.89329955,139.9180263],[35.88421094,139.90907562],[35.8827162,139.90732276],[35.87965139,139.90289832],[35.8757475,139.89528222]]",6,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
21,db/N07-11_12.xml/cv21,"[[35.92900417,139.96181194],[35.9222725,139.95734889],[35.92053417,139.95573389],[35.91880806,139.95384417],[35.91634806,139.95013917],[35.91278194,139.94182028],[35.91155528,139.93924944],[35.90968278,139.93610528],[35.90789453,139.93380446],[35.90501137,139.93055187],[35.90133094,139.92728452],[35.89640648,139.92144554],[35.89329955,139.9180263],[35.88421094,139.90907562],[35.8827162,139.90732276],[35.87965139,139.90289832],[35.8757475,139.89528222]]",7,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
22,db/N07-11_12.xml/cv22,"[[35.92900417,139.96181194],[35.9222725,139.95734889],[35.92053417,139.95573389],[35.91880806,139.95384417],[35.91634806,139.95013917],[35.91278194,139.94182028],[35.91155528,139.93924944],[35.90968278,139.93610528],[35.90789453,139.93380446],[35.90501137,139.93055187],[35.90133094,139.92728452],[35.89640648,139.92144554],[35.89329955,139.9180263],[35.88421094,139.90907562],[35.8827162,139.90732276],[35.87965139,139.90289832],[35.8757475,139.89528222]]",8,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
23,db/N07-11_12.xml/cv23,"[[35.92900417,139.96181194],[35.9222725,139.95734889],[35.92053417,139.95573389],[35.91880806,139.95384417],[35.91634806,139.95013917],[35.91278194,139.94182028],[35.91155528,139.93924944],[35.90968278,139.93610528],[35.90789453,139.93380446],[35.90501137,139.93055187],[35.90133094,139.92728452],[35.89640648,139.92144554],[35.89329955,139.9180263],[35.88421094,139.90907562],[35.8827162,139.90732276],[35.87965139,139.90289832],[35.8757475,139.89528222]]",9,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
24,db/N07-11_12.xml/cv24,"[[35.92900417,139.96181194],[35.9222725,139.95734889],[35.92053417,139.95573389],[35.91880806,139.95384417],[35.91634806,139.95013917],[35.91278194,139.94182028],[35.91155528,139.93924944],[35.90968278,139.93610528],[35.90789453,139.93380446],[35.90501137,139.93055187],[35.90133094,139.92728452],[35.89640648,139.92144554],[35.89329955,139.9180263],[35.88421094,139.90907562],[35.8827162,139.90732276],[35.87965139,139.90289832],[35.8757475,139.89528222]]",10,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
25,db/N07-11_12.xml/cv25,"[[35.73249389,140.82339028],[35.73049306,140.82322444],[35.72989128,140.82684614],[35.72982194,140.82750389],[35.7300362,140.8275151]]",11,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
26,db/N07-11_12.xml/cv26,"[[35.73249389,140.82339028],[35.73254117,140.82303733]]",11,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
27,db/N07-11_12.xml/cv27,"[[35.73941028,140.82423861],[35.73249389,140.82339028]]",11,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
28,db/N07-11_12.xml/cv28,"[[35.92900417,139.96181194],[35.9222725,139.95734889],[35.92053417,139.95573389],[35.91880806,139.95384417],[35.91634806,139.95013917],[35.91278194,139.94182028],[35.91155528,139.93924944],[35.90968278,139.93610528],[35.90789453,139.93380446],[35.90501137,139.93055187],[35.90133094,139.92728452],[35.89640648,139.92144554],[35.89329955,139.9180263],[35.88421094,139.90907562],[35.8827162,139.90732276],[35.87965139,139.90289832],[35.8757475,139.89528222]]",12,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
29,db/N07-11_12.xml/cv29,"[[35.92900417,139.96181194],[35.9222725,139.95734889],[35.92053417,139.95573389],[35.91880806,139.95384417],[35.91634806,139.95013917],[35.91278194,139.94182028],[35.91155528,139.93924944],[35.90968278,139.93610528],[35.90789453,139.93380446],[35.90501137,139.93055187],[35.90133094,139.92728452],[35.89640648,139.92144554],[35.89329955,139.9180263],[35.88421094,139.90907562],[35.8827162,139.90732276],[35.87965139,139.90289832],[35.8757475,139.89528222]]",13,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
