bus_stop_id,city,formatted_address
6141,山武郡横芝光町,千葉県山武郡横芝光町屋形
6142,匝瑳市,千葉県匝瑳市今泉
6143,匝瑳市,千葉県匝瑳市野手
6144,山武郡横芝光町,千葉県山武郡横芝光町木戸
6145,山武郡横芝光町,千葉県山武郡横芝光町目篠
6146,山武郡横芝光町,千葉県山武郡横芝光町目篠
6147,山武郡横芝光町,千葉県山武郡横芝光町宮川
6148,匝瑳市,千葉県匝瑳市今泉
6149,山武市,千葉県山武市蓮沼平
6150,山武郡横芝光町,千葉県山武郡横芝光町栗山
6151,匝瑳市,千葉県匝瑳市川辺
6152,匝瑳市,千葉県匝瑳市野手
6153,匝瑳市,千葉県匝瑳市野手
6154,匝瑳市,千葉県匝瑳市野手
6155,匝瑳市,千葉県匝瑳市新堀
6156,匝瑳市,千葉県匝瑳市今泉
6157,匝瑳市,千葉県匝瑳市堀川
6158,匝瑳市,千葉県匝瑳市新堀
6159,匝瑳市,千葉県匝瑳市新堀
6160,匝瑳市,千葉県匝瑳市新堀
6161,山武郡横芝光町,千葉県山武郡横芝光町栗山
6162,山武郡横芝光町,千葉県山武郡横芝光町栗山
6163,山武郡横芝光町,千葉県山武郡横芝光町北清水
6164,匝瑳市,千葉県匝瑳市野手
6165,山武郡横芝光町,千葉県山武郡横芝光町芝崎
6166,匝瑳市,千葉県匝瑳市長谷
6167,匝瑳市,千葉県匝瑳市川辺
6168,習志野市,千葉県習志野市袖ケ浦五丁目
6169,習志野市,千葉県習志野市袖ケ浦四丁目
6170,習志野市,千葉県習志野市秋津一丁目
6171,習志野市,千葉県習志野市袖ケ浦三丁目
6172,習志野市,千葉県習志野市袖ケ浦一丁目
6173,習志野市,千葉県習志野市津田沼六丁目
6174,習志野市,千葉県習志野市津田沼五丁目
6175,習志野市,千葉県習志野市奏の杜三丁目
6176,習志野市,千葉県習志野市谷津六丁目
6177,船橋市,千葉県船橋市前原西一丁目
6178,船橋市,千葉県船橋市前原西二丁目
6179,船橋市,千葉県船橋市前原東一丁目
6180,船橋市,千葉県船橋市宮本六丁目
6181,船橋市,千葉県船橋市東船橋一丁目
6182,船橋市,千葉県船橋市東船橋六丁目
6183,船橋市,千葉県船橋市前原西六丁目
6184,船橋市,千葉県船橋市前原西三丁目
6185,船橋市,千葉県船橋市東船橋二丁目
6186,船橋市,千葉県船橋市東船橋二丁目
6187,船橋市,千葉県船橋市東船橋三丁目
6188,船橋市,千葉県船橋市駿河台二丁目
6189,船橋市,千葉県船橋市前原西六丁目
6190,船橋市,千葉県船橋市前原西七丁目
6191,船橋市,千葉県船橋市駿河台一丁目
6192,船橋市,千葉県船橋市駿河台一丁目
6193,船橋市,千葉県船橋市駿河台一丁目
6194,船橋市,千葉県船橋市飯山満町二丁目
6195,船橋市,千葉県船橋市二宮一丁目
6196,船橋市,千葉県船橋市駿河台二丁目
6197,船橋市,千葉県船橋市駿河台二丁目
6198,船橋市,千葉県船橋市飯山満町二丁目
6199,習志野市,千葉県習志野市袖ケ浦六丁目
6200,千葉市花見川区,千葉県千葉市花見川区幕張本郷七丁目
6201,習志野市,千葉県習志野市鷺沼四丁目
6202,習志野市,千葉県習志野市鷺沼台三丁目
6203,習志野市,千葉県習志野市屋敷三丁目
6204,習志野市,千葉県習志野市屋敷三丁目
6205,習志野市,千葉県習志野市本大久保五丁目
6206,習志野市,千葉県習志野市屋敷三丁目
6207,習志野市,千葉県習志野市藤崎二丁目
6208,習志野市,千葉県習志野市大久保三丁目
6209,習志野市,千葉県習志野市藤崎六丁目
6210,習志野市,千葉県習志野市藤崎三丁目
6211,習志野市,千葉県習志野市泉町一丁目
6212,習志野市,千葉県習志野市泉町一丁目
6213,船橋市,千葉県船橋市三山八丁目
6214,船橋市,千葉県船橋市前原東四丁目
6215,船橋市,千葉県船橋市田喜野井四丁目
6216,船橋市,千葉県船橋市田喜野井六丁目
6217,船橋市,千葉県船橋市三山四丁目
6218,船橋市,千葉県船橋市三山三丁目
6219,船橋市,千葉県船橋市滝台一丁目
6220,船橋市,千葉県船橋市滝台一丁目
6221,船橋市,千葉県船橋市田喜野井七丁目
6222,船橋市,千葉県船橋市薬円台二丁目
6223,船橋市,千葉県船橋市薬円台一丁目
6224,船橋市,千葉県船橋市薬円台五丁目
6225,船橋市,千葉県船橋市薬円台三丁目
6226,船橋市,千葉県船橋市東船橋二丁目
6227,船橋市,千葉県船橋市前原東五丁目
6228,船橋市,千葉県船橋市三山八丁目
6229,習志野市,千葉県習志野市泉町二丁目
6230,習志野市,千葉県習志野市奏の杜三丁目
6231,習志野市,千葉県習志野市秋津四丁目
6232,千葉市花見川区,千葉県千葉市花見川区幕張本郷六丁目
6233,船橋市,千葉県船橋市薬円台二丁目
6234,習志野市,千葉県習志野市大久保一丁目
6235,習志野市,千葉県習志野市新栄一丁目
6236,習志野市,千葉県習志野市新栄一丁目
6237,船橋市,千葉県船橋市前原西五丁目
6238,船橋市,千葉県船橋市前原西二丁目
6239,船橋市,千葉県船橋市前原西二丁目
6240,船橋市,千葉県船橋市前原西二丁目
6241,習志野市,千葉県習志野市藤崎二丁目
6242,習志野市,千葉県習志野市藤崎二丁目
6243,習志野市,千葉県習志野市鷺沼二丁目
6244,習志野市,千葉県習志野市袖ケ浦三丁目
6245,習志野市,千葉県習志野市津田沼四丁目
6246,習志野市,千葉県習志野市津田沼一丁目
6247,習志野市,千葉県習志野市谷津七丁目
6248,習志野市,千葉県習志野市谷津一丁目
6249,船橋市,千葉県船橋市滝台町
6250,習志野市,千葉県習志野市津田沼五丁目
6251,船橋市,千葉県船橋市東船橋四丁目
6252,船橋市,千葉県船橋市前原東四丁目
6253,習志野市,千葉県習志野市谷津三丁目
6254,習志野市,千葉県習志野市谷津三丁目
6255,習志野市,千葉県習志野市袖ケ浦一丁目
6256,習志野市,千葉県習志野市秋津一丁目
6257,船橋市,千葉県船橋市習志野一丁目
6258,習志野市,千葉県習志野市藤崎四丁目
6259,習志野市,千葉県習志野市屋敷一丁目
6260,千葉市花見川区,千葉県千葉市花見川区幕張本郷七丁目
6261,習志野市,千葉県習志野市本大久保三丁目
6262,習志野市,千葉県習志野市本大久保二丁目
6263,習志野市,千葉県習志野市鷺沼台三丁目
6264,船橋市,千葉県船橋市前原西八丁目
6265,習志野市,千葉県習志野市津田沼四丁目
6266,船橋市,千葉県船橋市田喜野井四丁目
6267,船橋市,千葉県船橋市前原東二丁目
6268,船橋市,千葉県船橋市前原東三丁目
6269,船橋市,千葉県船橋市夏見五丁目
6270,船橋市,千葉県船橋市前原東五丁目
6271,船橋市,千葉県船橋市前原東五丁目
6272,船橋市,千葉県船橋市田喜野井一丁目
6273,船橋市,千葉県船橋市三山七丁目
6274,船橋市,千葉県船橋市三山七丁目
6275,習志野市,千葉県習志野市大久保一丁目
6276,船橋市,千葉県船橋市三山一丁目
6277,習志野市,千葉県習志野市谷津二丁目
6278,習志野市,千葉県習志野市袖ケ浦一丁目
6279,習志野市,千葉県習志野市本大久保五丁目
6280,習志野市,千葉県習志野市谷津町一丁目
6281,習志野市,千葉県習志野市津田沼一丁目
6282,船橋市,千葉県船橋市三山八丁目
6283,習志野市,千葉県習志野市屋敷二丁目
6284,船橋市,千葉県船橋市市場五丁目
6285,習志野市,千葉県習志野市藤崎四丁目
6286,習志野市,千葉県習志野市藤崎四丁目
6287,習志野市,千葉県習志野市藤崎三丁目
6288,習志野市,千葉県習志野市藤崎四丁目
6289,習志野市,千葉県習志野市藤崎三丁目
6290,習志野市,千葉県習志野市藤崎三丁目
6291,習志野市,千葉県習志野市藤崎一丁目
6292,習志野市,千葉県習志野市大久保一丁目
6293,習志野市,千葉県習志野市大久保一丁目
6294,習志野市,千葉県習志野市屋敷四丁目
6295,習志野市,千葉県習志野市津田沼二丁目
6296,習志野市,千葉県習志野市津田沼二丁目
6297,習志野市,千葉県習志野市津田沼五丁目
6298,習志野市,千葉県習志野市鷺沼三丁目
6299,習志野市,千葉県習志野市鷺沼三丁目
6300,習志野市,千葉県習志野市鷺沼一丁目
6301,習志野市,千葉県習志野市袖ケ浦四丁目
6302,船橋市,千葉県船橋市習志野四丁目
6303,千葉市花見川区,千葉県千葉市花見川区武石町一丁目
6304,千葉市花見川区,千葉県千葉市花見川区畑町
6305,千葉市花見川区,千葉県千葉市花見川区長作町
6306,千葉市花見川区,千葉県千葉市花見川区長作町
6307,千葉市花見川区,千葉県千葉市花見川区天戸町
6308,千葉市花見川区,千葉県千葉市花見川区天戸町
6309,習志野市,千葉県習志野市実籾本郷
6310,千葉市花見川区,千葉県千葉市花見川区長作町
6311,習志野市,千葉県習志野市実籾三丁目
6312,習志野市,千葉県習志野市実籾三丁目
6313,習志野市,千葉県習志野市実籾三丁目
6314,習志野市,千葉県習志野市新栄二丁目
6315,千葉市花見川区,千葉県千葉市花見川区作新台六丁目
6316,千葉市花見川区,千葉県千葉市花見川区作新台六丁目
6317,千葉市花見川区,千葉県千葉市花見川区作新台六丁目
6318,千葉市花見川区,千葉県千葉市花見川区作新台六丁目
6319,習志野市,千葉県習志野市新栄二丁目
6320,習志野市,千葉県習志野市実籾五丁目
6321,習志野市,千葉県習志野市東習志野二丁目
6322,習志野市,千葉県習志野市実籾四丁目
6323,習志野市,千葉県習志野市実籾四丁目
6324,千葉市花見川区,千葉県千葉市花見川区作新台四丁目
6325,千葉市花見川区,千葉県千葉市花見川区作新台三丁目
6326,習志野市,千葉県習志野市東習志野一丁目
6327,習志野市,千葉県習志野市東習志野三丁目
6328,八千代市,千葉県八千代市八千代台西五丁目
6329,八千代市,千葉県八千代市八千代台西六丁目
6330,八千代市,千葉県八千代市八千代台西七丁目
6331,八千代市,千葉県八千代市八千代台西二丁目
6332,八千代市,千葉県八千代市八千代台北七丁目
6333,八千代市,千葉県八千代市八千代台北九丁目
6334,千葉市花見川区,千葉県千葉市花見川区犢橋町
6335,千葉市花見川区,千葉県千葉市花見川区犢橋町
6336,千葉市花見川区,千葉県千葉市花見川区犢橋町
6337,千葉市花見川区,千葉県千葉市花見川区三角町
6338,千葉市花見川区,千葉県千葉市花見川区千種町
6339,千葉市花見川区,千葉県千葉市花見川区千種町
6340,千葉市花見川区,千葉県千葉市花見川区千種町
6341,千葉市花見川区,千葉県千葉市花見川区こてはし台四丁目
6342,千葉市花見川区,千葉県千葉市花見川区作新台一丁目
6343,千葉市花見川区,千葉県千葉市花見川区柏井一丁目
6344,千葉市花見川区,千葉県千葉市花見川区柏井一丁目
6345,千葉市花見川区,千葉県千葉市花見川区こてはし台五丁目
6346,千葉市花見川区,千葉県千葉市花見川区こてはし台六丁目
6347,千葉市花見川区,千葉県千葉市花見川区柏井町
6348,千葉市花見川区,千葉県千葉市花見川区こてはし台六丁目
6349,千葉市花見川区,千葉県千葉市花見川区横戸町
6350,八千代市,千葉県八千代市八千代台北十二丁目
6351,八千代市,千葉県八千代市八千代台北十二丁目
6352,千葉市花見川区,千葉県千葉市花見川区横戸町
6353,八千代市,千葉県八千代市八千代台北十五丁目
6354,八千代市,千葉県八千代市八千代台北十五丁目
6355,八千代市,千葉県八千代市勝田台南二丁目
6356,千葉市花見川区,千葉県千葉市花見川区こてはし台三丁目
6357,千葉市花見川区,千葉県千葉市花見川区横戸台
6358,千葉市花見川区,千葉県千葉市花見川区横戸台
6359,船橋市,千葉県船橋市習志野四丁目
6360,八千代市,千葉県八千代市八千代台北一丁目
6361,八千代市,千葉県八千代市八千代台北一丁目
6362,八千代市,千葉県八千代市八千代台東三丁目
6363,八千代市,千葉県八千代市八千代台西九丁目
6364,千葉市花見川区,千葉県千葉市花見川区柏井一丁目
6365,千葉市花見川区,千葉県千葉市花見川区花見川
6366,千葉市花見川区,千葉県千葉市花見川区作新台八丁目
6367,習志野市,千葉県習志野市東習志野三丁目
6368,習志野市,千葉県習志野市東習志野四丁目
6369,千葉市花見川区,千葉県千葉市花見川区作新台四丁目
6370,千葉市花見川区,千葉県千葉市花見川区長作台一丁目
6371,千葉市花見川区,千葉県千葉市花見川区畑町
6372,千葉市花見川区,千葉県千葉市花見川区犢橋町
6373,千葉市花見川区,千葉県千葉市花見川区三角町
6374,船橋市,千葉県船橋市習志野五丁目
6375,千葉市花見川区,千葉県千葉市花見川区武石町一丁目
6376,習志野市,千葉県習志野市東習志野七丁目
6377,習志野市,千葉県習志野市東習志野一丁目
6378,千葉市花見川区,千葉県千葉市花見川区横戸町
6379,習志野市,千葉県習志野市東習志野七丁目
6380,習志野市,千葉県習志野市東習志野八丁目
6381,習志野市,千葉県習志野市東習志野八丁目
6382,千葉市花見川区,千葉県千葉市花見川区花見川
6383,八千代市,千葉県八千代市八千代台北十五丁目
6384,習志野市,千葉県習志野市東習志野六丁目
6385,千葉市花見川区,千葉県千葉市花見川区作新台五丁目
6386,習志野市,千葉県習志野市実籾本郷
6387,千葉市花見川区,千葉県千葉市花見川区花島町
6388,千葉市花見川区,千葉県千葉市花見川区千種町
6389,千葉市花見川区,千葉県千葉市花見川区横戸町
6390,八千代市,千葉県八千代市八千代台東二丁目
6391,千葉市花見川区,千葉県千葉市花見川区こてはし台三丁目
6392,千葉市花見川区,千葉県千葉市花見川区花島町
6393,千葉市花見川区,千葉県千葉市花見川区花見川
6394,習志野市,千葉県習志野市実籾一丁目
6395,八千代市,千葉県八千代市八千代台西八丁目
6396,八千代市,千葉県八千代市八千代台西一丁目
6397,八千代市,千葉県八千代市八千代台北三丁目
6398,八千代市,千葉県八千代市八千代台北五丁目
6399,八千代市,千葉県八千代市八千代台北九丁目
6400,八千代市,千葉県八千代市八千代台東一丁目
6401,八千代市,千葉県八千代市八千代台南二丁目
6402,八千代市,千葉県八千代市八千代台南二丁目
6403,八千代市,千葉県八千代市八千代台東二丁目
6404,八千代市,千葉県八千代市八千代台東二丁目
6405,八千代市,千葉県八千代市八千代台東四丁目
6406,八千代市,千葉県八千代市八千代台東三丁目
6407,八千代市,千葉県八千代市八千代台東三丁目
6408,千葉市花見川区,千葉県千葉市花見川区三角町
6409,船橋市,千葉県船橋市三山六丁目
6410,千葉市花見川区,千葉県千葉市花見川区作新台八丁目
6411,八千代市,千葉県八千代市八千代台北十五丁目
6412,八千代市,千葉県八千代市八千代台北十二丁目
6413,八千代市,千葉県八千代市八千代台北二丁目
6414,千葉市花見川区,千葉県千葉市花見川区柏井四丁目
6415,八千代市,千葉県八千代市勝田台南三丁目
6416,八千代市,千葉県八千代市勝田台南三丁目
6417,千葉市花見川区,千葉県千葉市花見川区横戸町
6418,八千代市,千葉県八千代市大和田
6419,千葉市花見川区,千葉県千葉市花見川区柏井四丁目
6420,千葉市花見川区,千葉県千葉市花見川区柏井町
6421,千葉市花見川区,千葉県千葉市花見川区柏井町
6422,千葉市花見川区,千葉県千葉市花見川区花島町
6423,千葉市花見川区,千葉県千葉市花見川区千種町
6424,千葉市花見川区,千葉県千葉市花見川区花島町
6425,千葉市花見川区,千葉県千葉市花見川区長作町
6426,千葉市花見川区,千葉県千葉市花見川区花島町
6427,習志野市,千葉県習志野市屋敷四丁目
6428,習志野市,千葉県習志野市実籾二丁目
6429,習志野市,千葉県習志野市東習志野一丁目
6430,習志野市,千葉県習志野市東習志野六丁目
6431,船橋市,千葉県船橋市芝山一丁目
6432,船橋市,千葉県船橋市馬込西三丁目
6433,鎌ヶ谷市,千葉県鎌ヶ谷市南鎌ケ谷三丁目
6434,船橋市,千葉県船橋市二和東一丁目
6435,船橋市,千葉県船橋市習志野台五丁目
6436,船橋市,千葉県船橋市習志野台六丁目
6437,船橋市,千葉県船橋市習志野台五丁目
6438,船橋市,千葉県船橋市習志野台六丁目
6439,船橋市,千葉県船橋市高根台五丁目
6440,船橋市,千葉県船橋市古和釜町
6441,船橋市,千葉県船橋市夏見七丁目
6442,船橋市,千葉県船橋市芝山二丁目
6443,船橋市,千葉県船橋市夏見台四丁目
6444,船橋市,千葉県船橋市高根町
6445,船橋市,千葉県船橋市芝山四丁目
6446,船橋市,千葉県船橋市芝山五丁目
6447,船橋市,千葉県船橋市金杉九丁目
6448,鎌ヶ谷市,千葉県鎌ヶ谷市南鎌ケ谷二丁目
6449,船橋市,千葉県船橋市新高根六丁目
6450,船橋市,千葉県船橋市金杉二丁目
6451,船橋市,千葉県船橋市金杉二丁目
6452,船橋市,千葉県船橋市金杉三丁目
6453,船橋市,千葉県船橋市緑台一丁目
6454,船橋市,千葉県船橋市金杉四丁目
6455,船橋市,千葉県船橋市金杉台二丁目
6456,船橋市,千葉県船橋市金杉七丁目
6457,船橋市,千葉県船橋市金杉台一丁目
6458,船橋市,千葉県船橋市金杉台二丁目
6459,船橋市,千葉県船橋市金杉六丁目
6460,船橋市,千葉県船橋市二和東一丁目
6461,鎌ヶ谷市,千葉県鎌ヶ谷市南鎌ケ谷一丁目
6462,船橋市,千葉県船橋市馬込西一丁目
6463,船橋市,千葉県船橋市二和東一丁目
6464,船橋市,千葉県船橋市二和東二丁目
6465,船橋市,千葉県船橋市習志野台二丁目
6466,船橋市,千葉県船橋市習志野台三丁目
6467,船橋市,千葉県船橋市西習志野三丁目
6468,船橋市,千葉県船橋市習志野一丁目
