id,gml_id,name,latitude,longitude,created_at,updated_at,postal_code,prefecture,city,formatted_address,keyword
92,ED01_92,上真倉,34.97622769,139.86323999,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
93,ED01_93,下真倉,34.97884602,139.86902961,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
94,ED01_94,仲の町,34.9791474,139.86323077,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
95,ED01_95,みやぎ,34.98303326,139.84213602,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
96,ED01_96,西の浜,34.98237137,139.84775873,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
97,ED01_97,豊津橋,34.9819959,139.83758742,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
98,ED01_98,笠名,34.98167733,139.83431631,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
99,ED01_99,市営住宅海員学校前,34.98131124,139.83142579,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
100,ED01_100,大賀,34.98117765,139.82883852,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
101,ED01_101,西大賀,34.98028244,139.82543564,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
102,ED01_102,南長須賀,34.9834383,139.86524386,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
103,ED01_103,館山病院前,34.98343467,139.86188631,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
104,ED01_104,館山航空隊,34.98543989,139.84173314,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
105,ED01_105,NTT館山,34.98942544,139.86247146,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
106,ED01_106,館山郵便局前,34.9923097,139.86313619,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
107,ED01_107,南町,34.99155084,139.86922684,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
108,ED01_108,六軒町本通,34.99268365,139.86642196,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
109,ED01_109,東電前,34.9876203,139.86232475,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
110,ED01_110,城山公園前,34.98358311,139.8569295,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
111,ED01_111,たてしん前,34.99182943,139.8630597,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
112,ED01_112,上須賀,34.98346668,139.85093455,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
